id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
3886,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Detroit,,St. Joseph,1972-10-17,Person,0000000117699370,Rap,HipHop,,,
10709,Usher,3414d446-735a-443c-931f-10634f57e5b9,Usher,United States,US,Dallas,1978-10-14,Person,0000000054903863,RB,Rap,Pop,,
113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
83852,Pink is Punk,c79097fc-e361-4f14-bba5-9ef1e29e2be8,Pink Is Punk,Italy,IT,,,Group,,Rap,,,,
211338,iyaz,3bf30073-ce4e-4207-88d2-ad83677b0387,Iyaz,British Virgin Islands,VG,,1987-04-15,Person,0000000084160108,RB,Rap,Pop,,
142333,Nelly,811900b2-68fc-4d41-8bad-69b7a1f4d628,Nelly,United States,US,Austin,1974-11-02,Person,0000000078402174,RB,Rap,Pop,HipHop,
267814,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Canada,CA,Toronto,1986-10-24,Person,000000012032246X,RB,Rap,Pop,HipHop,
9903,Ludacris,0638ba22-040f-438d-83a5-9b670c4adaf5,Ludacris,Atlanta,,Champaign,1977-09-11,Person,0000000374669818,Rap,HipHop,,,
749,Lil' Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345,Lil Wayne,Miami Beach,,New Orleans,1982-09-27,Person,000000007841938X,Rap,HipHop,,,
10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17,Person,000000005524410X,RB,Rap,Pop,HipHop,
356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08,Person,0000000116557565,RB,Rap,HipHop,,
5271,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,Queens,,Port of Spain,1982-12-08,Person,0000000122969945,RB,Rap,Pop,HipHop,
51977,T.I.,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,United States,US,Atlanta,1980-09-25,Person,0000000121406796,RB,Rap,HipHop,,
489,Kid Cudi,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,United States,US,Cleveland,1984-01-30,Person,0000000107852300,Rap,HipHop,,,
114151,DJ Khaled,081a2d60-9791-4e05-a075-f1890355eeee,DJ Khaled,United States,US,,1975-11-26,Person,,Rap,HipHop,,,
296688,Diddy Dirty Money,480cdd78-e54e-4518-9ec9-572a62d7e1e1,Diddy - Dirty Money,United States,US,,2009,Group,,RB,Rap,HipHop,,
298356,Diddy,1cc2d151-530c-4bf3-834b-8b6203b7fc5a,Diddy,United Kingdom,GB,,,Person,,RB,Rap,Pop,HipHop,
